CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,No,No,50,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,One year,No,Bank transfer,52.01,2600.5,No
CUST0002,Female,0,No,Yes,46,Yes,No phone service,No,No,Yes,Yes,No internet service,Yes,No,One year,No,Credit card,23.72,1091.12,No
CUST0003,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,56.09,168.27,No
CUST0004,Male,0,No,Yes,6,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,No,Yes,One year,No,Mailed check,21.75,130.5,Yes
CUST0005,Male,0,Yes,No,34,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Credit card,39.24,1334.16,No
CUST0006,Female,0,Yes,No,47,Yes,No phone service,No,No,No internet service,Yes,Yes,No internet service,Yes,One year,No,Electronic check,95.25,4476.75,Yes
CUST0007,Male,1,No,No,72,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card,113.71,8187.12,No
CUST0008,Male,0,Yes,No,71,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Two year,Yes,Electronic check,28.74,2040.54,Yes
CUST0009,Male,1,No,No,44,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card,75.79,3334.76,No
CUST0010,Female,0,Yes,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Two year,No,Electronic check,45.39,3222.69,No
CUST0011,Male,0,No,No,18,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,No,Two year,Yes,Mailed check,33.91,610.38,No
CUST0012,Male,0,No,Yes,62,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,41.9,2597.8,No
CUST0013,Male,1,Yes,No,37,Yes,No phone service,DSL,No internet service,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,77.78,2877.86,No
CUST0014,Male,1,Yes,Yes,66,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,26.51,1749.66,No
CUST0015,Female,0,No,Yes,58,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,63.42,3678.36,No
CUST0016,Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,33.52,2279.36,Yes
CUST0017,Female,0,Yes,No,12,Yes,No phone service,No,Yes,No internet service,Yes,Yes,Yes,Yes,Two year,No,Mailed check,47.27,567.24,No
CUST0018,Female,0,Yes,Yes,46,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No internet service,Yes,One year,No,Electronic check,39.08,1797.68,No
CUST0019,Female,1,No,Yes,60,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,No,One year,No,Credit card,108.3,6498.0,No
CUST0020,Male,0,Yes,No,30,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,No,Mailed check,90.8,2724.0,No
CUST0021,Female,0,No,No,21,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,No,One year,No,Credit card,106.85,2243.85,No
CUST0022,Male,0,No,Yes,42,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card,58.35,2450.7,Yes
CUST0023,Female,1,No,No,66,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Two year,Yes,Mailed check,51.34,3388.44,No
CUST0024,Female,1,No,No,53,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,58.06,3077.18,Yes
CUST0025,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,21.85,196.65,Yes
CUST0026,Female,0,Yes,Yes,41,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card,92.47,3791.27,No
CUST0027,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Two year,No,Bank transfer,54.98,3463.74,No
CUST0028,Female,0,Yes,Yes,20,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,51.33,1026.6,Yes
CUST0029,Female,0,Yes,No,65,No,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,79.81,5187.65,No
CUST0030,Female,1,Yes,No,40,No,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,63.62,2544.8,No
CUST0031,Male,0,Yes,Yes,23,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,118.08,2715.84,No
CUST0032,Male,1,No,Yes,34,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,55.63,1891.42,No
CUST0033,Female,1,Yes,Yes,55,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,81.39,4476.45,No
CUST0034,Female,0,Yes,No,29,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,51.17,1483.93,Yes
CUST0035,Female,0,No,Yes,56,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,One year,Yes,Bank transfer,119.06,6667.36,No
CUST0036,Male,1,Yes,Yes,46,Yes,No phone service,No,No internet service,No,Yes,No internet service,No,No internet service,Two year,No,Bank transfer,64.51,2967.46,Yes
CUST0037,Female,1,Yes,No,34,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,83.41,2835.94,No
CUST0038,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card,32.67,588.06,No
CUST0039,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,No,Bank transfer,93.3,653.1,No
CUST0040,Male,0,Yes,Yes,25,Yes,No,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,46.92,1173.0,Yes
CUST0041,Male,1,Yes,No,70,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Mailed check,64.86,4540.2,Yes
CUST0042,Male,0,No,No,29,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card,108.31,3140.99,No
CUST0043,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Electronic check,117.06,702.36,No
CUST0044,Female,0,Yes,No,66,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,62.46,4122.36,No
CUST0045,Female,0,No,Yes,64,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,Yes,Mailed check,103.48,6622.72,No
CUST0046,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Two year,No,Electronic check,25.33,886.55,No
CUST0047,Female,0,No,No,24,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer,104.76,2514.24,Yes
CUST0048,Male,0,No,No,36,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No internet service,One year,No,Credit card,82.95,2986.2,Yes
CUST0049,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,No,Mailed check,68.87,0.0,No
CUST0050,Female,0,No,No,14,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,One year,Yes,Credit card,109.0,1526.0,No
CUST0051,Male,0,No,No,36,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card,104.53,3763.08,Yes
CUST0052,Female,1,Yes,No,12,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,One year,Yes,Credit card,49.69,596.28,Yes
CUST0053,Male,0,No,Yes,7,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,Yes,Bank transfer,99.15,694.05,No
CUST0054,Female,0,No,Yes,4,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card,29.95,119.8,No
CUST0055,Male,1,Yes,No,59,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Bank transfer,102.28,6034.52,No
CUST0056,Female,0,Yes,Yes,72,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,No,Bank transfer,87.55,6303.6,No
CUST0057,Female,0,Yes,No,0,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Credit card,28.79,0.0,Yes
CUST0058,Male,0,No,Yes,35,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card,88.31,3090.85,Yes
CUST0059,Male,0,Yes,Yes,34,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,78.05,2653.7,No
CUST0060,Male,0,No,Yes,65,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No,One year,No,Mailed check,79.46,5164.9,No
CUST0061,Male,0,No,No,62,Yes,Yes,No,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,49.09,3043.58,No
CUST0062,Male,0,No,Yes,22,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,46.65,1026.3,No
CUST0063,Male,0,No,No,8,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Mailed check,96.25,770.0,No
CUST0064,Male,0,No,Yes,33,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,45.68,1507.44,No
CUST0065,Male,0,No,Yes,45,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,64.63,2908.35,No
CUST0066,Female,0,No,Yes,3,No,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,89.48,268.44,Yes
CUST0067,Female,0,Yes,Yes,29,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,27.96,810.84,No
CUST0068,Male,0,Yes,Yes,71,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,No,Mailed check,79.45,5640.95,No
CUST0069,Female,1,No,No,2,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,78.94,157.88,No
CUST0070,Female,0,No,No,13,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,88.42,1149.46,No
CUST0071,Female,0,Yes,Yes,59,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,Yes,No,One year,No,Credit card,56.99,3362.41,No
CUST0072,Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Credit card,64.9,2855.6,No
CUST0073,Male,0,Yes,Yes,33,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Credit card,53.0,1749.0,Yes
CUST0074,Female,0,Yes,Yes,44,No,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,No,Electronic check,100.82,4436.08,Yes
CUST0075,Male,1,Yes,No,60,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,One year,Yes,Electronic check,33.06,1983.6,No
CUST0076,Female,1,No,Yes,15,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,116.3,1744.5,Yes
CUST0077,Female,0,No,No,65,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,83.48,5426.2,No
CUST0078,Female,1,Yes,Yes,39,No,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Credit card,108.69,4238.91,No
CUST0079,Male,0,Yes,No,16,No,Yes,No,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Mailed check,62.62,1001.92,No
CUST0080,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer,53.23,1756.59,No
CUST0081,Male,0,Yes,Yes,15,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer,110.07,1651.05,No
CUST0082,Female,1,Yes,No,59,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,One year,No,Electronic check,29.89,1763.51,Yes
CUST0083,Male,0,No,Yes,65,Yes,No,DSL,Yes,No,No,No internet service,No,No,Two year,No,Bank transfer,31.71,2061.15,Yes
CUST0084,Female,0,Yes,Yes,65,Yes,No phone service,DSL,No internet service,No,No,No,No internet service,No,Two year,Yes,Credit card,49.93,3245.45,No
CUST0085,Male,0,No,Yes,12,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,No,Bank transfer,115.98,1391.76,Yes
CUST0086,Male,0,Yes,No,55,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,One year,No,Electronic check,83.31,4582.05,No
CUST0087,Female,0,No,Yes,30,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,75.42,2262.6,Yes
CUST0088,Male,0,No,Yes,33,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,One year,No,Bank transfer,90.54,2987.82,No
CUST0089,Female,0,No,No,38,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Two year,Yes,Credit card,61.75,2346.5,No
CUST0090,Female,0,No,No,66,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,95.81,6323.46,Yes
CUST0091,Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,Yes,Credit card,59.32,415.24,No
CUST0092,Female,0,No,Yes,54,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Two year,No,Mailed check,102.64,5542.56,No
CUST0093,Female,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,46.73,1214.98,No
CUST0094,Female,0,No,Yes,52,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,47.75,2483.0,No
CUST0095,Female,1,Yes,No,38,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Two year,No,Electronic check,72.24,2745.12,No
CUST0096,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,Yes,Credit card,63.08,4037.12,No
CUST0097,Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,One year,No,Bank transfer,84.81,1356.96,No
CUST0098,Female,0,Yes,No,29,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,No,Credit card,56.43,1636.47,No
CUST0099,Female,0,No,No,52,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,43.06,2239.12,Yes
CUST0100,Male,0,Yes,No,12,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No internet service,Two year,No,Electronic check,66.98,803.76,No
CUST0101,Male,0,Yes,No,20,Yes,No phone service,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,76.1,1522.0,No
CUST0102,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,34.26,616.68,No
CUST0103,Female,0,Yes,Yes,52,Yes,No,DSL,No internet service,No internet service,No internet service,No,Yes,No,Two year,Yes,Bank transfer,75.67,3934.84,No
CUST0104,Female,0,No,No,18,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Bank transfer,51.93,934.74,No
CUST0105,Female,0,No,Yes,56,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,59.25,3318.0,No
CUST0106,Female,0,Yes,Yes,24,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,One year,No,Mailed check,47.93,1150.32,No
CUST0107,Female,0,No,No,30,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Credit card,113.14,3394.2,No
CUST0108,Female,0,No,No,54,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card,88.33,4769.82,No
CUST0109,Female,0,Yes,No,22,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,46.25,1017.5,No
CUST0110,Male,0,No,Yes,31,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,84.5,2619.5,No
CUST0111,Female,0,Yes,No,61,No,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,No,Mailed check,104.86,6396.46,No
